File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;156,0714286;0,743197279;0,256802721;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;SmatResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaInstResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaInstAdjusted;0,67;1;0,80;94;0,447619048;0,552380952;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaOptResult;0,83;1;0,91;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaOptAdjusted;0,83;1;0,91;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;CupidResult;1,00;0,084507042;0,16;49,125;0,233928571;0,766071429;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;DistributionBasedResult;0,67;0,8;0,73;94,1;0,448095238;0,551904762;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;DistributionBasedAdjusted;0,33;0,666666667;0,44;123,0833333;0,586111111;0,413888889;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;JaccardLevenMatcherResult;0,83;0,192307692;0,31;83,33333333;0,396825397;0,603174603;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;156,1428571;0,743537415;0,256462585;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;SmatResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaInstResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaInstAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaOptResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;ComaOptAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;CupidResult;1,00;0,2;0,33;44;0,20952381;0,79047619;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;DistributionBasedResult;0,17;0,142857143;0,15;139,4615385;0,664102564;0,335897436;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;DistributionBasedAdjusted;0,00;0;0,00;156,3571429;0,744557823;0,255442177;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;JaccardLevenMatcherResult;0,50;0,130434783;0,21;109,8181818;0,522943723;0,477056277;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;JaccardLevenMatcherAdjusted;0,17;0,333333333;0,22;139,1538462;0,662637363;0,337362637;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;SimilarityFloodingResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac2_av_,csv;SmatResult;1,00;1;1,00;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaInstResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaInstAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaOptResult;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;ComaOptAdjusted;0,00;0;0,00;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;CupidResult;1,00;0,162162162;0,28;44,875;0,213690476;0,786309524;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;DistributionBasedResult;0,17;0,333333333;0,22;139,1538462;0,662637363;0,337362637;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac3_av_,csv;DistributionBasedAdjusted;0,17;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
