File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;CupidAdjusted;1;0,028571429;0,055555556;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;DistributionBasedResult;0,166666667;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;DistributionBasedAdjusted;0,166666667;1;0,285714286;139;0,661904762;0,338095238;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;JaccardLevenMatcherResult;0,166666667;0,111111111;0,133333333;139,6153846;0,664835165;0,335164835;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;JaccardLevenMatcherAdjusted;0;0;0;156,0714286;0,743197279;0,256802721;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;SimilarityFloodingResult;1;0,030769231;0,059701493;64,625;0,307738095;0,692261905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;SimilarityFloodingAdjusted;0;0;0;210;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;SmatResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaInstResult;1;1;1;41;0,195238095;0,804761905;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaInstAdjusted;0,666666667;1;0,8;94;0,447619048;0,552380952;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaOptResult;0,833333333;1;0,909090909;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;ComaOptAdjusted;0,833333333;1;0,909090909;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;CupidResult;0,666666667;0,173913043;0,275862069;95,9;0,456666667;0,543333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;CupidAdjusted;1;0,028571429;0,055555556;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;DistributionBasedResult;0,666666667;0,8;0,727272727;94,1;0,448095238;0,551904762;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;DistributionBasedAdjusted;0,333333333;0,666666667;0,444444444;123,0833333;0,586111111;0,413888889;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;JaccardLevenMatcherResult;0,666666667;0,285714286;0,4;95;0,452380952;0,547619048;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_ev_,csv;JaccardLevenMatcherAdjusted;0;0;0;156,1428571;0,743537415;0,256462585;;;;;;;;;;;;;;;;;;
